"stock","before","after"
"A1CAP",6.4,4.8
"ACSEL",155.1,107
"ADEL",51.4,31.6
"ADESE",2.8,1.9
"ADGYO",35.6,30.2
"AEFES",149.9,167.4
"AFYON",11.8,13.9
"AGESA",62.5,133
"AGHOL",251.4,293
"AGROT",37.2,8.8
"AGYO",9.5,6.4
"AHGAZ",13.3,21
"AHSGY",NA,NA
"AKBNK",39.1,57.7
"AKCNS",162.4,168.2
"AKENR",5.9,10.5
"AKFGY",2.4,1.9
"AKFIS",NA,NA
"AKFYE",25.8,17.1
"AKGRT",6.4,6.6
"AKMGY",209.7,217
"AKSA",7.7,11
"AKSEN",36.9,34.3
"AKSGY",5.4,6.7
"AKSUE",14.2,17.1
"AKYHO",5.2,3.4
"ALARK",120,90.2
"ALBRK",4.4,6.3
"ALCAR",1416.8,1077.3
"ALCTL",124.3,108.5
"ALFAS",106.1,51.6
"ALGYO",22.5,18.4
"ALKA",8.3,7.1
"ALKIM",20,15.7
"ALKLC",NA,NA
"ALTNY",NA,NA
"ALVES",NA,NA
"ANELE",15.3,15.2
"ANGEN",13.8,11.8
"ANHYT",44.5,90.8
"ANSGR",66.5,96
"ARASE",67.2,42.8
"ARCLK",156.9,135.9
"ARDYZ",52.6,28
"ARENA",48.3,43
"ARMGD",NA,NA
"ARSAN",13.6,19.7
"ARTMS",NA,NA
"ARZUM",NA,3.6
"ASELS",56.5,113.6
"ASGYO",15.9,10.6
"ASTOR",116.9,107.7
"ASUZU",71.3,56.8
"ATAGY",11.6,10.7
"ATAKP",54,38.6
"ATATP",137.6,87.8
"ATEKS",156.5,108.4
"ATLAS",5.3,5.1
"ATSYH",49.3,47.4
"AVGYO",8.8,8.5
"AVHOL",55.4,37.1
"AVOD",3.7,2.6
"AVPGY",44.2,56.5
"AVTUR",10.2,10.7
"AYCES",1063.4,451.1
"AYDEM",27.5,19.3
"AYEN",25,25.8
"AYES",8.3,9
"AYGAZ",136.4,143.8
"AZTEK",132.7,39.6
"BAGFS",28.5,21.7
"BAHKM",NA,NA
"BAKAB",44.2,31.2
"BALAT",24.3,60.2
"BANVT",148.5,264.4
"BARMA",NA,NA
"BASCM",12.7,10.6
"BASGZ",19.5,28.1
"BAYRK",43.6,17.7
"BEGYO",5.1,14.6
"BERA",16.2,16.6
"BEYAZ",22.8,22.3
"BFREN",1084.8,661.3
"BIENY",46.8,33.6
"BIGCH",31.1,27.9
"BIMAS",377.5,476.1
"BINBN",NA,NA
"BINHO",599.8,248.7
"BIOEN",20.4,18.2
"BIZIM",45,25.8
"BJKAS",63.9,3.3
"BLCYT",17.8,15.4
"BMSCH",8.6,12.3
"BMSTL",18.1,42.2
"BNTAS",12.9,5.8
"BOBET",35.5,19.9
"BORLS",36.6,89.5
"BORSK",NA,NA
"BOSSA",5.5,6.6
"BRISA",110.9,85
"BRKO",4,11.7
"BRKSN",13.7,7.6
"BRKVY",146.1,57.9
"BRLSM",31.5,15.8
"BRMEN",5.1,5.3
"BRSAN",672.2,378.4
"BRYAT",3356.4,1863.9
"BSOKE",16.3,13.8
"BTCIM",3.8,4.3
"BUCIM",8.3,7.7
"BURCE",18.1,15.6
"BURVA",132.7,107.3
"BVSAN",110.9,108.9
"BYDNR",32.6,20.1
"CANTE",2.5,1.5
"CASA",101.7,66.2
"CATES",73.4,29.4
"CCOLA",601.8,52.2
"CELHA",34.3,20.6
"CEMAS",5,3.5
"CEMTS",11.6,11.1
"CEMZY",NA,NA
"CEOEM",22.3,33.6
"CGCAM",NA,NA
"CIMSA",34.3,48.6
"CLEBI",1139.5,2572.7
"CMBTN",3699.2,2401.4
"CMENT",403.1,387.7
"CONSE",6.5,2.7
"COSMO",140.7,108.2
"CRDFA",7.4,7.8
"CRFSA",141.4,85.7
"CUSAN",25.6,22.2
"CVKMD",13.1,10.3
"CWENE",38.6,17.3
"DAGHL",15.7,65.1
"DAGI",2.7,6
"DAPGM",5.2,7.7
"DARDL",7.6,4.9
"DCTTR",NA,NA
"DENGE",3,2.9
"DERHL",12.4,50.7
"DERIM",22.3,36.9
"DESA",11.8,8.8
"DESPC",48.8,46.1
"DEVA",81.1,61.4
"DGATE",40.6,52.3
"DGGYO",35.9,35.9
"DGNMO",11.1,6.8
"DIRIT",16.7,22.4
"DITAS",17.6,13.4
"DMRGD",16.8,14.6
"DMSAS",7.4,7.4
"DNISI",NA,24.8
"DOAS",212.1,195.9
"DOBUR",112,214
"DOCO",4693.6,6801.5
"DOFER",49,26.3
"DOGUB",22.2,16.7
"DOHOL",13.5,15.4
"DOKTA",37.5,20.5
"DURDO",3.7,3.6
"DURKN",NA,NA
"DYOBY",10.5,21.9
"DZGYO",5.2,7.6
"EBEBK",63.7,50.2
"ECILC",49.9,42.5
"ECZYT",255.6,177.2
"EDATA",8.8,4.1
"EDIP",17.9,20.2
"EFORC",NA,NA
"EGEEN",14572.6,9269.4
"EGEGY",NA,NA
"EGEPO",5.2,6.1
"EGGUB",47.8,62.9
"EGPRO",27.5,23.5
"EGSER",4.2,3.3
"EKGYO",10.7,13.5
"EKIZ",57.3,57.9
"EKOS",60.2,20.4
"EKSUN",8.2,5.7
"ELITE",54.9,40.7
"EMKEL",17.7,21.1
"EMNIS",159,328.9
"ENERY",2.2,3.6
"ENJSA",53.9,58.1
"ENKAI",36.2,57.4
"ENSRI",37.4,18.8
"ENTRA",NA,NA
"EPLAS",6.6,5
"ERBOS",250.3,166
"ERCB",165.5,85.5
"EREGL",23,22.6
"ERSU",32.3,15.6
"ESCAR",19.8,51.1
"ESCOM",5.9,2.7
"ESEN",20.5,36.6
"ETILR",5.4,8.9
"ETYAT",14.3,10.1
"EUHOL",3.5,14
"EUKYO",20.2,11.5
"EUPWR",58.9,31.2
"EUREN",17.8,4.7
"EUYO",16.8,10.7
"EYGYO",3.1,2.3
"FADE",19.7,13.5
"FENER",101.6,49.2
"FLAP",13.2,7.7
"FMIZP",339.2,308.4
"FONET",23.3,15
"FORMT",2.9,5.7
"FORTE",86.8,69.7
"FRIGO",8.3,7.7
"FROTO",82.2,99.6
"FZLGY",14.4,32.6
"GARAN",59.7,117.2
"GARFA",30.1,17.3
"GEDIK",7.5,7.7
"GEDZA",27.3,28.5
"GENIL",67.1,141.7
"GENTS",9.1,17.6
"GEREL",10.2,8.7
"GESAN",79.2,46.5
"GIPTA",42.4,56.9
"GLBMD",14,10.3
"GLCVY",42.5,49.2
"GLRMK",NA,NA
"GLRYH",4.5,2.9
"GLYHO",4.2,7.1
"GMTAS",8.3,12.3
"GOKNR",24.3,22.8
"GOLTS",301.8,409
"GOODY",22.6,15.7
"GOZDE",26,20.4
"GRNYO",8.8,8.5
"GRSEL",78.5,241
"GRTHO",63.6,336.6
"GSDDE",9.7,8.2
"GSDHO",4.3,4
"GSRAY",7.2,1.9
"GUBRF",180.6,273.8
"GUNDG",NA,NA
"GWIND",26.5,26.5
"GZNMI",39.2,101.1
"HALKB",14.1,20.4
"HATEK",15.3,26
"HATSN",81.7,39.6
"HDFGS",2.1,1.6
"HEDEF",5.7,6.6
"HEKTS",19.1,3.3
"HKTM",23.1,12.8
"HLGYO",2.8,2.7
"HOROZ",NA,NA
"HRKET",NA,NA
"HTTBT",29.5,44.3
"HUBVC",3.4,1.8
"HUNER",5.1,3.8
"HURGZ",4.8,4.5
"ICBCT",17,12.9
"ICUGS",9.1,14.2
"IDGYO",6.1,2.5
"IEYHO",5.7,9.8
"IHAAS",14.4,19.8
"IHEVA",2.9,2.2
"IHGZT",1.4,1.4
"IHLAS",1.1,2.5
"IHLGM",1.5,1.7
"IHYAY",3.2,2.3
"IMASM",4.2,2.5
"INDES",9.1,7.3
"INFO",3.6,2.1
"INGRM",687.3,402.9
"INTEK",NA,NA
"INTEM",317.9,202.4
"INVEO",11.4,6.6
"INVES",NA,NA
"IPEKE",40.1,60
"ISBIR",121.4,85.3
"ISCTR",10.4,13.1
"ISDMR",38.6,36.8
"ISFIN",11.5,13.6
"ISGSY",27.8,34.5
"ISGYO",17.6,16.9
"ISKPL",8.9,22.7
"ISMEN",31.7,40.1
"ISSEN",11.7,8
"ISYAT",11.9,8
"IZENR",7.7,5.5
"IZFAS",17.3,72.8
"IZINV",46.8,39.8
"IZMDC",6.6,4.9
"JANTS",24.7,23.1
"KAPLM",136.2,184.4
"KAREL",16,8.7
"KARSN",10.3,11
"KARTN",106.7,90.1
"KATMR",2.5,2.2
"KAYSE",35.3,18
"KBORU",145.4,67.2
"KCAER",19.1,11.7
"KCHOL",160.5,154.3
"KENT",740.1,863.9
"KERVN",1.6,2.1
"KERVT",12.6,15.6
"KFEIN",156.8,114.7
"KGYO",0.3,0.3
"KIMMR",10,8.9
"KLGYO",5.1,4.7
"KLKIM",28.3,32.5
"KLMSN",34.2,23.7
"KLNMA",31.8,7.4
"KLRHO",50.7,26.3
"KLSER",71.7,30.6
"KLSYN",6.5,5.7
"KMPUR",33.3,17.6
"KNFRT",11.7,11.6
"KOCMT",NA,NA
"KONKA",54.8,34.6
"KONTR",75.9,30.1
"KONYA",9317.5,5681.8
"KOPOL",8.5,5.3
"KORDS",94.4,59.6
"KOTON",NA,NA
"KOZAA",50.6,79.1
"KOZAL",22.8,26.8
"KRDMD",27.3,28.4
"KRGYO",5.8,12
"KRONT",22.9,17
"KRPLS",8.9,6.8
"KRSTL",11.1,6.4
"KRTEK",36.2,26.5
"KRVGD",2.9,2.2
"KSTUR",3975.1,5277.5
"KTLEV",100.2,66.7
"KTSKR",73.8,62
"KUTPO",74.5,75.6
"KUVVA",48.1,54.9
"KUYAS",13.7,34.7
"KZBGY",6.3,6.7
"KZGYO",27.2,20.1
"LIDER",66.4,175.6
"LIDFA",3.8,2.9
"LILAK",NA,NA
"LINK",375.6,503.4
"LKMNH",9.7,18.3
"LMKDC",NA,NA
"LOGO",94.3,119
"LRSHO",3,2.3
"LUKSK",97.8,85.8
"LYDHO",97.4,92.1
"LYDYE",NA,NA
"MAALT",1241.7,779.1
"MACKO",14.6,30.2
"MAGEN",14.3,28.1
"MAKIM",28.6,17.5
"MAKTK",7,10.3
"MANAS",10.1,11.2
"MARBL",22,11.8
"MARKA",93.1,57.8
"MARTI",5.2,2.9
"MAVI",33.4,33.1
"MEDTR",35.6,38.2
"MEGAP",5,3
"MEGMT",56,28.4
"MEKAG",75.4,43.5
"MEPET",11.3,8.5
"MERCN",15.9,19.9
"MERIT",8.5,12.8
"MERKO",12.8,14.2
"METRO",2.7,2.6
"METUR",8.6,16.5
"MGROS",442.5,497.3
"MHRGY",6,4.8
"MIATK",64.5,41.1
"MMCAS",12.7,24.2
"MNDRS",12.1,9.5
"MNDTR",6.8,5.5
"MOBTL",6.5,4.1
"MOGAN",NA,NA
"MPARK",171.6,325.6
"MRGYO",1.8,1.4
"MRSHL",2411.1,1428.8
"MSGYO",4.2,4.4
"MTRKS",30.1,23.1
"MTRYO",8.3,6.6
"MZHLD",9.2,5.9
"NATEN",55.3,48.1
"NETAS",73.3,55.3
"NIBAS",21.8,15
"NTGAZ",NA,6.9
"NTHOL",28.3,39.8
"NUGYO",7.3,6.8
"NUHCM",297.4,261.4
"OBAMS",NA,NA
"OBASE",53.8,29.7
"ODAS",9.9,5.1
"ODINE",NA,NA
"OFSYM",58.5,39.1
"ONCSM",228.5,93.5
"ONRYT",NA,NA
"ORCAY",13.9,9.3
"ORGE",78.4,89.2
"ORMA",184.5,179.1
"OSMEN",227.5,9.1
"OSTIM",2,3.1
"OTKAR",495.4,452.2
"OTTO",322.1,341.7
"OYAKC",17,29.1
"OYAYO",34.1,25.6
"OYLUM",10.9,7.4
"OYYAT",46.3,28.3
"OZATD",NA,NA
"OZGYO",6.1,4.9
"OZKGY",9.5,11.4
"OZRDN",17.7,8.8
"OZSUB",15.5,17.9
"OZYSR",NA,NA
"PAGYO",36.7,59.9
"PAMEL",152.4,83.4
"PAPIL",21.4,29.5
"PARSN",114.4,79.1
"PASEU",17,39.6
"PATEK",NA,NA
"PCILT",14.6,13.3
"PEHOL",3.2,17.4
"PEKGY",8.3,1.5
"PENGD",7.5,7.2
"PENTA",21.1,13.9
"PETKM",23.7,16.8
"PETUN",11.9,8.7
"PGSUS",166.3,259.9
"PINSU",6.7,6
"PKART",68.1,63.6
"PKENT",327,209.1
"PLTUR",18.8,26
"PNLSN",81.8,39.9
"PNSUT",12.6,8.5
"POLHO",14.4,13.4
"POLTK",22714.7,6320.8
"PRDGS",7.4,4.9
"PRKAB",38.9,27.5
"PRKME",23.3,18.5
"PRZMA",19.4,9.9
"PSDTC",86.6,76.1
"PSGYO",2.4,1.7
"QNBFK",NA,NA
"QNBTR",261.2,312.4
"QUAGR",4.3,4.2
"RALYH",17.5,92.6
"RAYSG",303.6,284.8
"REEDR",53.5,12.4
"RGYAS",NA,NA
"RNPOL",40.6,25.7
"RODRG",20.7,17
"ROYAL",6.8,6.8
"RUBNS",29.7,23.4
"RYGYO",6.6,14.3
"RYSAS",7.7,16.9
"SAFKR",41.9,75.4
"SAHOL",74.4,86.1
"SAMAT",56.9,17.6
"SANEL",29.6,24.3
"SANFM",12.7,44.8
"SANKO",25.6,20.7
"SARKY",27.9,19
"SASA",5,3.7
"SAYAS",101,32.3
"SDTTR",386.2,200.5
"SEGMN",NA,NA
"SEGYO",6,5.1
"SEKFK",9.1,7.4
"SEKUR",13.8,13.9
"SELEC",59.8,64.8
"SELGD",54.7,48.5
"SELVA",2.4,1.8
"SEYKM",6.6,3.2
"SILVR",18.3,17
"SISE",49,36.5
"SKBNK",4.7,4.6
"SKTAS",5,4.7
"SKYLP",175.5,103.9
"SKYMD",11.5,17.5
"SMART",49.1,28.3
"SMRTG",66.2,34
"SMRVA",NA,NA
"SNGYO",1.4,3.3
"SNICA",8.5,4.1
"SNKRN",37.5,111.3
"SNPAM",96.7,60.6
"SODSN",128.7,91.2
"SOKE",20.2,11.2
"SOKM",65.1,37.4
"SONME",76.9,104.5
"SRVGY",5,3.1
"SUMAS",389.8,333.5
"SUNTK",18.4,36.1
"SURGY",51.1,40.8
"SUWEN",8.3,8.8
"TABGD",137.4,165.7
"TARKM",767.3,352.5
"TATEN",40.8,38.6
"TATGD",34.7,12.1
"TAVHL",163,247.5
"TBORG",83.1,163.8
"TCELL",64.9,95.9
"TCKRC",NA,NA
"TDGYO",10.7,15.2
"TEKTU",4,4.1
"TERA",13.6,53.8
"TEZOL",20.8,17.4
"TGSAS",46.5,57.5
"THYAO",282.4,313.3
"TKFEN",44.9,117.6
"TKNSA",43.1,28.3
"TLMAN",110.1,89.8
"TMPOL",102.3,75.7
"TMSN",130.2,97.4
"TNZTP",-30.6,27.5
"TOASO",227.7,173.1
"TRCAS",26.3,31
"TRGYO",36.6,57.9
"TRILC",NA,23.7
"TSGYO",8,7.2
"TSKB",8.6,11.5
"TSPOR",1.7,1
"TTKOM",31.8,50.7
"TTRAK",731.1,724.6
"TUCLK",13.4,8.4
"TUKAS",8.6,2.1
"TUPRS",135.7,130.4
"TUREX",3.9,24.5
"TURGG",679.6,457.3
"TURSG",11.8,17.5
"UFUK",211,593.3
"ULAS",25.3,25.3
"ULKER",106.5,117.6
"ULUFA",2.5,3.6
"ULUSE",167.8,140.1
"ULUUN",7.9,5.9
"UMPAS",11.5,9.3
"UNLU",18.5,13.8
"USAK",2.4,3.7
"VAKBN",14.2,24.2
"VAKFN",1.9,2.3
"VAKKO",80.7,68.2
"VANGD",20.4,21.9
"VBTYZ",36.8,19.9
"VERTU",49.9,33.1
"VERUS",266.9,238.8
"VESBE",18.9,13.5
"VESTL",82.2,51.5
"VKFYO",24.7,17.5
"VKGYO",1.8,2
"VKING",34.9,27.7
"VRGYO",10.1,2.5
"YAPRK",350.4,646.4
"YATAS",31.3,25.9
"YAYLA",15.5,20.9
"YBTAS",175042.7,163600.8
"YEOTK",75.4,52.1
"YESIL",4.4,1.5
"YGGYO",38.1,69.8
"YGYO",5.8,5.8
"YIGIT",NA,NA
"YKBNK",22.4,26.5
"YKSLN",8.2,6.5
"YONGA",71.3,60.2
"YUNSA",9.3,5.9
"YYAPI",1.4,1.5
"YYLGD",15.5,9.2
"ZEDUR",12.6,7.4
"ZOREN",5.4,3.6
"ZRGYO",7,20.2
