"stock","mainsector","subsector"
"ISSEN","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"ISYAT","FINANCIAL INSTITUTIONS","INVESTMENT TRUSTS"
"IZENR","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"IZFAS","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"IZINV","AGRICULTURE, FORESTRY AND FISHING","CROP AND ANIMAL PRODUCTION HUNTING AND RELATED SERVICE ACTIVITIES"
"IZMDC","MANUFACTURING","BASIC METAL"
"JANTS","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"KAPLM","MANUFACTURING","PAPER AND PAPER PRODUCTS PRINTING"
"KAREL","TECHNOLOGY","INFORMATION TECHNOLOGY"
"KARSN","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"KARTN","MANUFACTURING","PAPER AND PAPER PRODUCTS PRINTING"
"KATMR","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"KAYSE","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"KBORU","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"KCAER","MANUFACTURING","BASIC METAL"
"KCHOL","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"KENT","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"KERVN","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"KFEIN","TECHNOLOGY","INFORMATION TECHNOLOGY"
"KGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"KIMMR","WHOLESALE AND RETAIL TRADE","CONSUMER TRADE"
"KLGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"KLKIM","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"KLMSN","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"KLNMA","FINANCIAL INSTITUTIONS","BANKS"
"KLRHO","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"KLSER","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"KLSYN","MANUFACTURING","WOOD PRODUCTS INCLUDING FURNITURE"
"KLYPV","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"KMPUR","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"KNFRT","AGRICULTURE, FORESTRY AND FISHING","CROP AND ANIMAL PRODUCTION HUNTING AND RELATED SERVICE ACTIVITIES"
"KOCMT","MANUFACTURING","BASIC METAL"
"KONKA","MANUFACTURING","PAPER AND PAPER PRODUCTS PRINTING"
"KONTR","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","ARCHITECTURAL AND ENGINEERING ACTIVITIES; TECHNICAL TESTING AND ANALYSIS"
"KONYA","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"KOPOL","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"KORDS","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"KOTON","WHOLESALE AND RETAIL TRADE","CONSUMER TRADE"
"KOZAA","MINING AND QUARRYING","MINING OF METAL ORES"
"KOZAL","MINING AND QUARRYING","MINING OF METAL ORES"
"KRDMD","MANUFACTURING","BASIC METAL"
"KRGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"KRONT","TECHNOLOGY","INFORMATION TECHNOLOGY"
"KRPLS","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"KRSTL","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"KRTEK","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"KRVGD","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"KSTUR","HOTELS AND RESTAURANTS","ACCOMODATION"
"KTLEV","FINANCIAL INSTITUTIONS","FINANCING COMPANIES"
"KTSKR","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"KUTPO","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"KUVVA","WHOLESALE AND RETAIL TRADE","WHOLESALE TRADE"
"KUYAS","CONSTRUCTION AND PUBLIC WORKS","CONSTRUCTION AND PUBLIC WORKS"
"KZBGY","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"KZGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"LIDER","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","RENTAL AND LEASING ACTIVITIES"
"LIDFA","FINANCIAL INSTITUTIONS","FINANCIAL LEASING AND FACTORING COMPANIES"
"LILAK","MANUFACTURING","PAPER AND PAPER PRODUCTS PRINTING"
"LINK","TECHNOLOGY","INFORMATION TECHNOLOGY"
"LKMNH","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES"
"LMKDC","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"LOGO","TECHNOLOGY","INFORMATION TECHNOLOGY"
"LRSHO","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"LUKSK","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"LYDHO","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"LYDYE","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"MAALT","HOTELS AND RESTAURANTS","ACCOMODATION"
"MACKO","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES","SPORTS ENTERTAINMENT AND RECREATIONAL SERVICES"
"MAGEN","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"MAKIM","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"MAKTK","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"MANAS","TECHNOLOGY","INFORMATION TECHNOLOGY"
"MARBL","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"MARKA","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"MARTI","HOTELS AND RESTAURANTS","ACCOMODATION"
"MAVI","WHOLESALE AND RETAIL TRADE","CONSUMER TRADE"
"MEDTR","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"MEGAP","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"MEGMT","MANUFACTURING","BASIC METAL"
"MEKAG","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"MEPET","WHOLESALE AND RETAIL TRADE","CONSUMER TRADE"
"MERCN","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"MERIT","HOTELS AND RESTAURANTS","ACCOMODATION"
"MERKO","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"METRO","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"METUR","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"MGROS","WHOLESALE AND RETAIL TRADE","CONSUMER TRADE"
"MHRGY","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"MIATK","TECHNOLOGY","INFORMATION TECHNOLOGY"
"MMCAS","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"MNDRS","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"MNDTR","MANUFACTURING","PAPER AND PAPER PRODUCTS PRINTING"
"MOBTL","TECHNOLOGY","INFORMATION TECHNOLOGY"
"MOGAN","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"MOPAS","WHOLESALE AND RETAIL TRADE","CONSUMER TRADE"
"MPARK","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES"
"MRGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"MRSHL","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"MSGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"MTRKS","TECHNOLOGY","INFORMATION TECHNOLOGY"
"MTRYO","FINANCIAL INSTITUTIONS","INVESTMENT TRUSTS"
"MZHLD","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"NATEN","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"NETAS","TECHNOLOGY","INFORMATION TECHNOLOGY"
"NIBAS","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"NTGAZ","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"NTHOL","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"NUGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"NUHCM","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"OBAMS","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"OBASE","TECHNOLOGY","INFORMATION TECHNOLOGY"
"ODAS","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"ODINE","TECHNOLOGY","INFORMATION TECHNOLOGY"
"OFSYM","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"ONCSM","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"ONRYT","TECHNOLOGY","DEFENSE"
"ORCAY","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"ORGE","CONSTRUCTION AND PUBLIC WORKS","CONSTRUCTION AND PUBLIC WORKS"
"ORMA","MANUFACTURING","WOOD PRODUCTS INCLUDING FURNITURE"
"OSMEN","FINANCIAL INSTITUTIONS","BROKERAGE HOUSES"
"OSTIM","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"OTKAR","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"OTTO","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"OYAKC","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"OYAYO","FINANCIAL INSTITUTIONS","INVESTMENT TRUSTS"
"OYLUM","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"OYYAT","FINANCIAL INSTITUTIONS","BROKERAGE HOUSES"
"OZATD","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"OZGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"OZKGY","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"OZRDN","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"OZSUB","AGRICULTURE, FORESTRY AND FISHING","FISHING AND FISHERIES"
"OZYSR","MANUFACTURING","BASIC METAL"
"PAGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"PAMEL","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"PAPIL","TECHNOLOGY","INFORMATION TECHNOLOGY"
"PARSN","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"PASEU","TRANSPORTATION AND STORAGE","TRANSPORTATION AND STORAGE"
"PATEK","TECHNOLOGY","INFORMATION TECHNOLOGY"
"PCILT","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","ADVERTISING AND MARKET RESEARCH"
"PEHOL","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"PEKGY","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"PENGD","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"PENTA","TECHNOLOGY","INFORMATION TECHNOLOGY"
"PETKM","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"PETUN","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"PGSUS","TRANSPORTATION AND STORAGE","TRANSPORTATION AND STORAGE"
"PINSU","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"PKART","TECHNOLOGY","INFORMATION TECHNOLOGY"
"PKENT","HOTELS AND RESTAURANTS","ACCOMODATION"
"PLTUR","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","RENTAL AND LEASING ACTIVITIES"
"PNLSN","MANUFACTURING","BASIC METAL"
"PNSUT","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"POLHO","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"POLTK","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"PRDGS","FINANCIAL INSTITUTIONS","VENTURE CAPITAL INVESTMENT TRUSTS"
"PRKAB","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"PRKME","MINING AND QUARRYING","MINING OF COAL AND LIGNITE"
"PRZMA","MANUFACTURING","PAPER AND PAPER PRODUCTS PRINTING"
"PSDTC","WHOLESALE AND RETAIL TRADE","WHOLESALE TRADE"
"PSGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"QNBFK","FINANCIAL INSTITUTIONS","FINANCIAL LEASING AND FACTORING COMPANIES"
"QNBTR","FINANCIAL INSTITUTIONS","BANKS"
"QUAGR","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"RALYH","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"RAYSG","FINANCIAL INSTITUTIONS","INSURANCE COMPANIES"
"REEDR","TECHNOLOGY","INFORMATION TECHNOLOGY"
"RGYAS","REAL ESTATE ACTIVITIES","REAL ESTATE ACTIVITIES"
"RNPOL","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"RODRG","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"ROYAL","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"RTALB","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"RUBNS","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"RUZYE","MINING AND QUARRYING","MINING OF COAL AND LIGNITE"
"RYGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"RYSAS","TRANSPORTATION AND STORAGE","TRANSPORTATION AND STORAGE"
"SAFKR","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"SAHOL","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"SAMAT","MANUFACTURING","PAPER AND PAPER PRODUCTS PRINTING"
"SANEL","CONSTRUCTION AND PUBLIC WORKS","CONSTRUCTION AND PUBLIC WORKS"
"SANFM","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"SANKO","WHOLESALE AND RETAIL TRADE","WHOLESALE TRADE"
"SARKY","MANUFACTURING","BASIC METAL"
"SASA","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"SAYAS","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"SDTTR","TECHNOLOGY","DEFENSE"
"SEGMN","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"SEGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"SEKFK","FINANCIAL INSTITUTIONS","FINANCIAL LEASING AND FACTORING COMPANIES"
"SEKUR","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"SELEC","WHOLESALE AND RETAIL TRADE","WHOLESALE TRADE"
"SELGD","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"SELVA","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"SERNT","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"SEYKM","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"SILVR","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"SISE","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"SKBNK","FINANCIAL INSTITUTIONS","BANKS"
"SKTAS","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"SKYLP","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","LEGAL AND ACCOUNTING ACTIVITIES"
"SKYMD","FINANCIAL INSTITUTIONS","BROKERAGE HOUSES"
"SMART","TECHNOLOGY","INFORMATION TECHNOLOGY"
"SMRTG","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"SMRVA","FINANCIAL INSTITUTIONS","ASSET MANAGEMENT COMPANIES"
"SNGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"SNICA","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"SNKRN","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","SECURITY AND INVESTIGATION ACTIVITIES"
"SNPAM","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"SODSN","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"SOKE","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"SOKM","WHOLESALE AND RETAIL TRADE","CONSUMER TRADE"
"SONME","REAL ESTATE ACTIVITIES","REAL ESTATE ACTIVITIES"
"SRVGY","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"SUMAS","MANUFACTURING","WOOD PRODUCTS INCLUDING FURNITURE"
"SUNTK","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"SURGY","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"SUWEN","WHOLESALE AND RETAIL TRADE","CONSUMER TRADE"
"TABGD","HOTELS AND RESTAURANTS","FOOD AND BEVERAGE SERVICES"
"TARKM","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"TATEN","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"TATGD","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"TAVHL","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"TBORG","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"TCELL","INFORMATION AND COMMUNICATION","TELECOMMUNICATIONS"
"TCKRC","MANUFACTURING","BASIC METAL"
"TDGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"TEKTU","HOTELS AND RESTAURANTS","ACCOMODATION"
"TERA","FINANCIAL INSTITUTIONS","BROKERAGE HOUSES"
"TEZOL","MANUFACTURING","PAPER AND PAPER PRODUCTS PRINTING"
"TGSAS","WHOLESALE AND RETAIL TRADE","WHOLESALE TRADE"
"THYAO","TRANSPORTATION AND STORAGE","TRANSPORTATION AND STORAGE"
"TKFEN","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"TKNSA","WHOLESALE AND RETAIL TRADE","CONSUMER TRADE"
"TLMAN","TRANSPORTATION AND STORAGE","TRANSPORTATION AND STORAGE"
"TMPOL","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"TMSN","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"TNZTP","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES"
"TOASO","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"TRCAS","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"TRGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"TRILC","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"TSGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"TSKB","FINANCIAL INSTITUTIONS","BANKS"
"TSPOR","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES","SPORTS ACTIVITIES, AMUSEMENT AND RECREATION ACTIVITIES"
"TTKOM","INFORMATION AND COMMUNICATION","TELECOMMUNICATIONS"
"TTRAK","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"TUCLK","MANUFACTURING","BASIC METAL"
"TUKAS","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"TUPRS","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"TUREX","TRANSPORTATION AND STORAGE","TRANSPORTATION AND STORAGE"
"TURGG","CONSTRUCTION AND PUBLIC WORKS","CONSTRUCTION AND PUBLIC WORKS"
"TURSG","FINANCIAL INSTITUTIONS","INSURANCE COMPANIES"
"UFUK","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"ULAS","HOTELS AND RESTAURANTS","ACCOMODATION"
"ULKER","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"ULUFA","FINANCIAL INSTITUTIONS","FINANCIAL LEASING AND FACTORING COMPANIES"
"ULUSE","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"ULUUN","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"UMPAS","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"UNLU","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"USAK","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"VAKBN","FINANCIAL INSTITUTIONS","BANKS"
"VAKFN","FINANCIAL INSTITUTIONS","FINANCIAL LEASING AND FACTORING COMPANIES"
"VAKKO","WHOLESALE AND RETAIL TRADE","CONSUMER TRADE"
"VANGD","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"VBTYZ","TECHNOLOGY","INFORMATION TECHNOLOGY"
"VERTU","FINANCIAL INSTITUTIONS","VENTURE CAPITAL INVESTMENT TRUSTS"
"VERUS","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"VESBE","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"VESTL","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"VKFYO","FINANCIAL INSTITUTIONS","INVESTMENT TRUSTS"
"VKGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"VKING","MANUFACTURING","PAPER AND PAPER PRODUCTS PRINTING"
"VRGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"VSNMD","MINING AND QUARRYING","OTHER MINING AND QUARRYING"
"YAPRK","AGRICULTURE, FORESTRY AND FISHING","CROP AND ANIMAL PRODUCTION HUNTING AND RELATED SERVICE ACTIVITIES"
"YATAS","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"YAYLA","CONSTRUCTION AND PUBLIC WORKS","CONSTRUCTION AND PUBLIC WORKS"
"YBTAS","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"YEOTK","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","ARCHITECTURAL AND ENGINEERING ACTIVITIES; TECHNICAL TESTING AND ANALYSIS"
"YESIL","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"YGGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"YGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"YIGIT","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"YKBNK","FINANCIAL INSTITUTIONS","BANKS"
"YKSLN","MANUFACTURING","BASIC METAL"
"YONGA","MANUFACTURING","WOOD PRODUCTS INCLUDING FURNITURE"
"YUNSA","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"YYAPI","CONSTRUCTION AND PUBLIC WORKS","CONSTRUCTION AND PUBLIC WORKS"
"YYLGD","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"ZEDUR","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"ZOREN","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"ZRGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
